,,,,계,,관광,,상용,,공용,,유학연수,,기타
년,월,대륙,국적,인원수,증감률(%),인원수,증감률(%),인원수,증감률(%),인원수,증감률(%),인원수,증감률(%),인원수,증감률(%)
"2010","01","아시아","중국","91,252","-1.89","40,425","-7.30","11,930","22.33","55","66.67","2,751","-5.17","36,091","-1.70"
"2010","01","아시아","일본","209,184","-12.04","202,825","-11.93","1,750","-25.63","89","-18.35","549","8.07","3,971","-12.59"
"2010","01","아시아","대만","36,399","-2.74","35,788","-2.63","41","20.59","17","-37.04","37","-44.78","516","-4.97"
"2010","01","아시아","홍콩","14,545","-42.30","13,874","-43.16","55","57.14","0","0.00","21","133.33","595","-21.09"
"2010","01","아시아","마카오","554","-41.99","554","-41.99","0","0.00","0","0.00","0","0.00","0","0.00"
"2010","01","아시아","필리핀","21,214","-2.79","3,984","13.83","219","69.77","104","-5.45","87","14.47","16,820","-6.60"
"2010","01","아시아","인도네시아","5,061","-12.71","1,840","-27.59","327","100.61","3","-70.00","65","54.76","2,826","-7.10"
"2010","01","아시아","태국","17,814","27.73","13,374","48.77","39","21.88","13","-18.75","53","12.77","4,335","-10.84"
"2010","01","아시아","베트남","4,515","-11.44","1,384","-3.49","284","73.17","21","600.00","150","45.63","2,676","-21.15"
"2010","01","아시아","인도","6,026","9.13","1,646","-9.36","1,387","46.31","7","16.67","68","36.00","2,918","7.99"
"2010","01","아시아","말레이시아","4,559","-32.10","3,292","-37.02","61","154.17","0","-100.00","49","11.36","1,157","-18.41"
"2010","01","아시아","싱가포르","5,368","-16.36","4,201","-12.30","120","79.10","3","200.00","27","92.86","1,017","-34.22"
"2010","01","아시아","몽골","3,324","4.99","2,333","24.89","234","-16.73","6","100.00","197","1.03","554","-32.36"
"2010","01","아시아","우즈베키스탄","1,280","1.91","190","27.52","293","-23.50","17","750.00","40","-16.67","740","9.79"
"2010","01","아시아","미얀마","4,594","10.35","630","11.31","18","5.88","54","0.00","10","233.33","3,882","8.53"
"2010","01","아시아","GCC","430","95.45","223","82.79","134","152.83","0","-100.00","18","50.00","55","83.33"
"2010","01","아시아","카자흐스탄","419","0.72","238","0.42","48","23.08","4","300.00","22","0.00","107","-8.55"
"2010","01","아시아","터키","969","45.71","472","31.48","15","-34.78","2","0.00","15","114.29","465","69.71"
"2010","01","아시아","캄보디아","280","-35.93","102","-28.17","22","100.00","0","0.00","25","127.27","131","-52.01"
"2010","01","아시아","스리랑카","648","-23.40","39","-13.33","28","12.00","2","100.00","13","8.33","566","-25.82"
"2010","01","아시아","방글라데시","710","44.90","86","2.38","84","-4.55","9","125.00","42","40.00","489","72.18"
"2010","01","아시아","파키스탄","714","11.39","70","-24.73","200","-14.89","1","-50.00","41","64.00","402","40.56"
"2010","01","아시아","이스라엘","856","24.24","792","28.57","11","10.00","0","0.00","0","0.00","53","-15.87"
"2010","01","아시아","이란","598","34.08","69","-15.85","309","48.56","0","-100.00","3","0.00","217","42.76"
