측정 일자,측정 시,수소이온농도(pH),수온(℃),탁도(NTU),용존산소(mg/L),전기전도도(㎲/cm),화학적산소요구량(mg/L),질소총량(mg/L),인총량(mg/L),암모니아성질소(mg/L),질산성질소계(mg/L),유량(㎥),수위(cm),페놀(mg/L),시안(mg/L),염소(mg/L),유기탄소총량(mg/L),총산소요구량(mg/L),ABS(kg/㎠)
2021-01-13,12:00,7.7,9.69,24.89,6.13,1659.54,4.21,5.74,0.43,0.47,1.03,821.31,0,0,0,0,0,0,0
2021-01-12,23:00,7.68,10.06,40.42,6.69,953.08,4.68,5.74,0.43,0.46,1.08,821.25,0,0,0,0,0,0,0
2021-01-11,23:00,7.7,10.34,20.81,7.25,810.71,4.64,5.74,0.43,0.46,1.13,821.25,0,0,0,0,0,0,0
2021-01-10,23:00,7.78,9.96,14.59,7.67,894.96,3.68,5.74,0.43,0.46,1.2,821.25,0,0,0,0,0,0,0
2021-01-09,23:00,7.69,10.25,15.43,7.84,1012.08,4.25,5.74,0.43,0.46,1.34,821.25,0,0,0,0,0,0,0
2021-01-08,23:00,7.67,10.18,9.75,7.96,1200.83,4.38,5.74,0.43,0.46,1.86,821.29,0,0,0,0,0,0,0
2021-01-07,23:00,7.68,10.4,10.74,8.27,919.21,4.15,5.74,0.43,0.46,1.34,821.25,0,0,0,0,0,0,0
2021-01-06,23:00,7.63,10.64,7.23,8.22,681,4.4,5.27,0.43,0.47,1.12,821.25,0,0,0,0,0,0,0
2021-01-05,23:00,7.6,10.76,4.25,8.31,681.13,4,5.5,0.43,0.47,1.54,821.25,0,0,0,0,0,0,0
2021-01-04,23:00,7.69,10.86,2.79,8.61,659,3.18,5.02,0.43,0.47,1.5,821.25,0,0,0,0,0,0,0
2021-01-03,23:00,7.74,10.5,2.83,8.81,676.25,3.8,4.3,0.43,0.47,1.02,821.29,0,0,0,0,0,0,0
2021-01-02,23:00,7.78,10.55,2.8,8.79,681.5,3.24,5.74,0.43,0.47,1,821.25,0,0,0,0,0,0,0
2021-01-01,23:00,7.86,10.57,2.65,8.88,684,4.15,5.02,0.43,0.47,1.01,821.25,0,0,0,0,0,0,0
2020-12-31,23:00,7.88,11.02,2.8,8.91,688.04,4.17,1.44,0.43,0.47,1.01,821.25,0,0,0,0,0,0,0
2020-12-30,23:00,7.85,11.08,2.58,8.69,674.63,4.18,5.74,0.45,0.47,1.05,821.25,0,0,0,0,0,0,0
2020-12-29,23:00,7.77,11.89,2.49,8.06,666.25,3.92,5.74,0.52,0.47,1.03,821.25,0,0,0,0,0,0,0
2020-12-28,23:00,8.18,12.19,135.22,3.05,670.17,5,1.68,0.36,0.48,1.07,821.29,0,0,0,0,0,0,0
2020-12-27,23:00,8.42,11.46,164.75,0.77,697.71,5.03,0,0.45,0.47,1.02,821.25,0,0,0,0,0,0,0
2020-12-26,23:00,8.43,11.07,146.18,0.85,703.38,4.34,0,0.45,0.47,1.01,821.25,0,0,0,0,0,0,0
2020-12-25,23:00,8.38,10.98,136.63,1,719.13,4.73,0,0.45,0.47,0.98,821.25,0,0,0,0,0,0,0
2020-12-24,23:00,8,11.9,123.94,0.87,762.75,4.62,0,0.45,0.48,1.3,821.29,0,0,0,0,0,0,0
2020-12-23,23:00,8.3,11.33,81.67,1.01,707.21,3.63,0,0.45,0.47,1.05,821.25,0,0,0,0,0,0,0
2020-12-22,23:00,8.29,11.3,54.51,1.18,709.71,4.41,0,0.45,0.48,1.03,821.25,0,0,0,0,0,0,0
2020-12-21,23:00,8.27,11.15,25.27,1.3,693.29,4.41,0,0.45,0.48,1.03,821.25,0,0,0,0,0,0,0
2020-12-20,23:00,8.35,10.94,13.51,1.48,704.92,4.61,0,0.45,0.48,1.81,821.25,0,0,0,0,0,0,0
2020-12-19,23:00,8.27,10.95,8.23,1.64,695.5,5.04,0,0.45,0.48,1.22,821.25,0,0,0,0,0,0,0
2020-12-18,23:00,8.2,11.23,5.23,1.77,698.71,4.07,0,0.45,0.48,1.37,821.29,0,0,0,0,0,0,0
2020-12-17,23:00,8.18,11.38,4.08,1.91,702.92,4.42,0,0.45,0.47,1.93,821.25,0,0,0,0,0,0,0
2020-12-16,23:00,8.08,11.41,3.38,2.05,700.21,4.93,0,0.45,0.48,2.01,821.25,0,0,0,0,0,0,0
2020-12-15,23:00,8.03,11.68,2.99,2.24,718.54,4.3,0.33,0.45,0.47,2.89,821.25,0,0,0,0,0,0,0
2020-12-14,23:00,7.96,11.99,2.72,2.44,738.54,4.48,5.74,0.5,0.48,3.95,821.29,0,0,0,0,0,0,0
2020-12-13,23:00,8.06,11.91,2.6,2.82,756.58,4.63,5.74,0.57,0.48,1.6,821.25,0,0,0,0,0,0,0
2020-12-12,23:00,7.92,12.6,2.66,3.35,663.33,4.48,5.74,0.6,0.48,1.37,821.25,0,0,0,0,0,0,0
2020-12-11,23:00,7.8,12.31,2.68,4.04,620.25,4.95,5.74,0.62,0.48,1.3,821.25,0,0,0,0,0,0,0
2020-12-10,23:00,7.8,12.19,2.58,4.71,636.92,3.78,5.74,0.65,0.48,1.16,821.25,0,0,0,0,0,0,0
2020-12-09,23:00,7.78,12.06,2.45,5.29,654.96,4.62,4.69,0.65,0.48,1.2,821.29,0,0,0,0,0,0,0
2020-12-08,23:00,7.64,12.65,2.44,6.16,675.54,4.39,5.36,0.57,0.48,1.04,821.25,0,0,0,0,0,0,0
